11.5212 	EXP 	window1: blendMode = 'avg'
11.5378 	EXP 	window1: blendMode = 'avg'
11.5545 	EXP 	window1: blendMode = 'avg'
11.5711 	EXP 	window1: blendMode = 'avg'
11.5878 	EXP 	window1: blendMode = 'avg'
11.6045 	EXP 	window1: blendMode = 'avg'
11.6212 	EXP 	window1: blendMode = 'avg'
11.6379 	EXP 	window1: blendMode = 'avg'
11.6545 	EXP 	window1: blendMode = 'avg'
11.6711 	EXP 	window1: blendMode = 'avg'
11.6878 	EXP 	window1: blendMode = 'avg'
11.7046 	EXP 	window1: blendMode = 'avg'
11.7212 	EXP 	window1: blendMode = 'avg'
11.7378 	EXP 	window1: blendMode = 'avg'
11.7544 	EXP 	window1: blendMode = 'avg'
11.7711 	EXP 	window1: blendMode = 'avg'
11.7877 	EXP 	window1: blendMode = 'avg'
11.8044 	EXP 	window1: blendMode = 'avg'
11.8211 	EXP 	window1: blendMode = 'avg'
11.8378 	EXP 	window1: blendMode = 'avg'
11.8544 	EXP 	window1: blendMode = 'avg'
11.8711 	EXP 	window1: blendMode = 'avg'
11.8877 	EXP 	window1: blendMode = 'avg'
11.9047 	EXP 	window1: blendMode = 'avg'
11.9212 	EXP 	window1: blendMode = 'avg'
11.9378 	EXP 	window1: blendMode = 'avg'
11.9544 	EXP 	window1: blendMode = 'avg'
11.9711 	EXP 	window1: blendMode = 'avg'
11.9877 	EXP 	window1: blendMode = 'avg'
12.0044 	EXP 	window1: blendMode = 'avg'
12.0211 	EXP 	window1: blendMode = 'avg'
12.0377 	EXP 	window1: blendMode = 'avg'
12.0544 	EXP 	window1: blendMode = 'avg'
12.0710 	EXP 	window1: blendMode = 'avg'
12.0877 	EXP 	window1: blendMode = 'avg'
12.1044 	EXP 	window1: blendMode = 'avg'
12.1210 	EXP 	window1: blendMode = 'avg'
12.1376 	EXP 	window1: blendMode = 'avg'
12.1543 	EXP 	window1: blendMode = 'avg'
12.1710 	EXP 	window1: blendMode = 'avg'
12.1876 	EXP 	window1: blendMode = 'avg'
12.2043 	EXP 	window1: blendMode = 'avg'
12.2209 	EXP 	window1: blendMode = 'avg'
12.2376 	EXP 	window1: blendMode = 'avg'
12.2543 	EXP 	window1: blendMode = 'avg'
12.2710 	EXP 	window1: blendMode = 'avg'
12.2884 	EXP 	window1: blendMode = 'avg'
12.3051 	EXP 	window1: blendMode = 'avg'
12.3210 	EXP 	window1: blendMode = 'avg'
12.3377 	EXP 	window1: blendMode = 'avg'
12.3544 	EXP 	window1: blendMode = 'avg'
12.3711 	EXP 	window1: blendMode = 'avg'
12.3878 	EXP 	window1: blendMode = 'avg'
12.4043 	EXP 	window1: blendMode = 'avg'
12.4210 	EXP 	window1: blendMode = 'avg'
12.4462 	EXP 	window1: blendMode = 'avg'
12.4544 	EXP 	window1: blendMode = 'avg'
12.4710 	EXP 	window1: blendMode = 'avg'
12.4877 	EXP 	window1: blendMode = 'avg'
12.5043 	EXP 	window1: blendMode = 'avg'
