19.2626 	EXP 	window1: blendMode = 'avg'
19.2793 	EXP 	window1: blendMode = 'avg'
19.2959 	EXP 	window1: blendMode = 'avg'
19.3126 	EXP 	window1: blendMode = 'avg'
19.3292 	EXP 	window1: blendMode = 'avg'
19.3459 	EXP 	window1: blendMode = 'avg'
19.3625 	EXP 	window1: blendMode = 'avg'
19.3793 	EXP 	window1: blendMode = 'avg'
19.3959 	EXP 	window1: blendMode = 'avg'
19.4127 	EXP 	window1: blendMode = 'avg'
19.4292 	EXP 	window1: blendMode = 'avg'
19.4459 	EXP 	window1: blendMode = 'avg'
19.4625 	EXP 	window1: blendMode = 'avg'
19.4792 	EXP 	window1: blendMode = 'avg'
19.4959 	EXP 	window1: blendMode = 'avg'
19.5125 	EXP 	window1: blendMode = 'avg'
19.5282 	EXP 	window1: blendMode = 'avg'
19.5460 	EXP 	window1: blendMode = 'avg'
19.5626 	EXP 	window1: blendMode = 'avg'
19.5792 	EXP 	window1: blendMode = 'avg'
19.5959 	EXP 	window1: blendMode = 'avg'
19.6125 	EXP 	window1: blendMode = 'avg'
19.6291 	EXP 	window1: blendMode = 'avg'
19.6458 	EXP 	window1: blendMode = 'avg'
19.6625 	EXP 	window1: blendMode = 'avg'
19.6792 	EXP 	window1: blendMode = 'avg'
19.6961 	EXP 	window1: blendMode = 'avg'
19.7126 	EXP 	window1: blendMode = 'avg'
19.7292 	EXP 	window1: blendMode = 'avg'
19.7459 	EXP 	window1: blendMode = 'avg'
19.7625 	EXP 	window1: blendMode = 'avg'
19.7792 	EXP 	window1: blendMode = 'avg'
19.7958 	EXP 	window1: blendMode = 'avg'
19.8125 	EXP 	window1: blendMode = 'avg'
19.8291 	EXP 	window1: blendMode = 'avg'
19.8457 	EXP 	window1: blendMode = 'avg'
19.8626 	EXP 	window1: blendMode = 'avg'
19.8791 	EXP 	window1: blendMode = 'avg'
19.8957 	EXP 	window1: blendMode = 'avg'
19.9124 	EXP 	window1: blendMode = 'avg'
19.9295 	EXP 	window1: blendMode = 'avg'
19.9455 	EXP 	select_eeg_system: autoDraw = False
19.9455 	EXP 	instr_text: autoDraw = True
19.9457 	EXP 	window1: blendMode = 'avg'
19.9624 	EXP 	window1: blendMode = 'avg'
19.9790 	EXP 	window1: blendMode = 'avg'
19.9957 	EXP 	window1: blendMode = 'avg'
20.0123 	EXP 	window1: blendMode = 'avg'
20.0293 	EXP 	window1: blendMode = 'avg'
20.0457 	EXP 	window1: blendMode = 'avg'
20.0624 	EXP 	window1: blendMode = 'avg'
20.0790 	EXP 	window1: blendMode = 'avg'
20.0957 	EXP 	window1: blendMode = 'avg'
20.1123 	EXP 	window1: blendMode = 'avg'
20.1292 	EXP 	window1: blendMode = 'avg'
20.1458 	EXP 	window1: blendMode = 'avg'
20.1623 	EXP 	window1: blendMode = 'avg'
20.1790 	EXP 	window1: blendMode = 'avg'
20.1956 	EXP 	window1: blendMode = 'avg'
20.2123 	EXP 	window1: blendMode = 'avg'
20.2290 	EXP 	window1: blendMode = 'avg'
20.2457 	EXP 	window1: blendMode = 'avg'
20.2623 	EXP 	window1: blendMode = 'avg'
20.2790 	EXP 	window1: blendMode = 'avg'
20.2956 	EXP 	window1: blendMode = 'avg'
20.3122 	EXP 	window1: blendMode = 'avg'
20.3289 	EXP 	window1: blendMode = 'avg'
20.3456 	EXP 	window1: blendMode = 'avg'
20.3623 	EXP 	window1: blendMode = 'avg'
20.3791 	EXP 	window1: blendMode = 'avg'
20.3956 	EXP 	window1: blendMode = 'avg'
20.4122 	EXP 	window1: blendMode = 'avg'
20.4289 	EXP 	window1: blendMode = 'avg'
20.4456 	EXP 	window1: blendMode = 'avg'
20.4622 	EXP 	window1: blendMode = 'avg'
20.4790 	EXP 	window1: blendMode = 'avg'
20.4955 	EXP 	window1: blendMode = 'avg'
20.5122 	EXP 	window1: blendMode = 'avg'
20.5289 	EXP 	window1: blendMode = 'avg'
20.5457 	EXP 	window1: blendMode = 'avg'
20.5622 	EXP 	window1: blendMode = 'avg'
20.5789 	EXP 	window1: blendMode = 'avg'
20.5955 	EXP 	window1: blendMode = 'avg'
20.6122 	EXP 	window1: blendMode = 'avg'
20.6288 	EXP 	window1: blendMode = 'avg'
20.6455 	EXP 	window1: blendMode = 'avg'
20.6621 	EXP 	window1: blendMode = 'avg'
20.6789 	EXP 	window1: blendMode = 'avg'
