25.0159 	EXP 	window1: blendMode = 'avg'
25.0324 	EXP 	window1: blendMode = 'avg'
25.0491 	EXP 	window1: blendMode = 'avg'
25.0658 	EXP 	window1: blendMode = 'avg'
25.0824 	EXP 	window1: blendMode = 'avg'
25.0991 	EXP 	window1: blendMode = 'avg'
25.1158 	EXP 	window1: blendMode = 'avg'
25.1325 	EXP 	window1: blendMode = 'avg'
25.1493 	EXP 	window1: blendMode = 'avg'
25.1657 	EXP 	window1: blendMode = 'avg'
25.1824 	EXP 	window1: blendMode = 'avg'
25.1992 	EXP 	window1: blendMode = 'avg'
25.2157 	EXP 	window1: blendMode = 'avg'
25.2324 	EXP 	window1: blendMode = 'avg'
25.2491 	EXP 	window1: blendMode = 'avg'
25.2656 	EXP 	window1: blendMode = 'avg'
25.2824 	EXP 	window1: blendMode = 'avg'
25.2990 	EXP 	window1: blendMode = 'avg'
25.3158 	EXP 	window1: blendMode = 'avg'
25.3324 	EXP 	window1: blendMode = 'avg'
25.3491 	EXP 	window1: blendMode = 'avg'
25.3656 	EXP 	window1: blendMode = 'avg'
25.3823 	EXP 	window1: blendMode = 'avg'
25.3990 	EXP 	window1: blendMode = 'avg'
25.4157 	EXP 	window1: blendMode = 'avg'
25.4324 	EXP 	window1: blendMode = 'avg'
25.4490 	EXP 	window1: blendMode = 'avg'
25.4656 	EXP 	window1: blendMode = 'avg'
25.4823 	EXP 	window1: blendMode = 'avg'
25.4989 	EXP 	window1: blendMode = 'avg'
25.5157 	EXP 	window1: blendMode = 'avg'
25.5323 	EXP 	window1: blendMode = 'avg'
25.5489 	EXP 	window1: blendMode = 'avg'
25.5656 	EXP 	window1: blendMode = 'avg'
25.5822 	EXP 	window1: blendMode = 'avg'
25.5989 	EXP 	window1: blendMode = 'avg'
25.6157 	EXP 	window1: blendMode = 'avg'
25.6329 	EXP 	window1: blendMode = 'avg'
25.6490 	EXP 	window1: blendMode = 'avg'
25.6656 	EXP 	window1: blendMode = 'avg'
25.6822 	EXP 	window1: blendMode = 'avg'
25.6989 	EXP 	window1: blendMode = 'avg'
25.7157 	EXP 	window1: blendMode = 'avg'
25.7322 	EXP 	window1: blendMode = 'avg'
25.7488 	EXP 	window1: blendMode = 'avg'
25.7655 	EXP 	window1: blendMode = 'avg'
25.7821 	EXP 	window1: blendMode = 'avg'
25.7990 	EXP 	window1: blendMode = 'avg'
25.8155 	EXP 	window1: blendMode = 'avg'
25.8322 	EXP 	window1: blendMode = 'avg'
25.8488 	EXP 	window1: blendMode = 'avg'
25.8655 	EXP 	window1: blendMode = 'avg'
25.8821 	EXP 	window1: blendMode = 'avg'
25.8988 	EXP 	window1: blendMode = 'avg'
25.9155 	EXP 	window1: blendMode = 'avg'
25.9323 	EXP 	window1: blendMode = 'avg'
25.9488 	EXP 	window1: blendMode = 'avg'
25.9654 	EXP 	window1: blendMode = 'avg'
25.9822 	EXP 	window1: blendMode = 'avg'
25.9988 	EXP 	window1: blendMode = 'avg'
26.0155 	EXP 	window1: blendMode = 'avg'
26.0323 	EXP 	window1: blendMode = 'avg'
26.0489 	EXP 	window1: blendMode = 'avg'
26.0654 	EXP 	window1: blendMode = 'avg'
26.0821 	EXP 	window1: blendMode = 'avg'
26.0987 	EXP 	window1: blendMode = 'avg'
26.1154 	EXP 	window1: blendMode = 'avg'
26.1320 	EXP 	window1: blendMode = 'avg'
26.1488 	EXP 	window1: blendMode = 'avg'
26.1654 	EXP 	window1: blendMode = 'avg'
26.1821 	EXP 	window1: blendMode = 'avg'
26.2012 	EXP 	window1: blendMode = 'avg'
26.2156 	EXP 	window1: blendMode = 'avg'
26.2320 	EXP 	window1: blendMode = 'avg'
26.2487 	EXP 	window1: blendMode = 'avg'
26.2659 	EXP 	window1: blendMode = 'avg'
26.2820 	EXP 	window1: blendMode = 'avg'
26.2988 	EXP 	window1: blendMode = 'avg'
26.3154 	EXP 	window1: blendMode = 'avg'
26.3320 	EXP 	window1: blendMode = 'avg'
26.3487 	EXP 	window1: blendMode = 'avg'
26.3653 	EXP 	window1: blendMode = 'avg'
26.3820 	EXP 	window1: blendMode = 'avg'
26.3986 	EXP 	window1: blendMode = 'avg'
26.4155 	EXP 	window1: blendMode = 'avg'
26.4320 	EXP 	window1: blendMode = 'avg'
26.4487 	EXP 	window1: blendMode = 'avg'
26.4654 	EXP 	window1: blendMode = 'avg'
