16.3364 	EXP 	window1: blendMode = 'avg'
16.3531 	EXP 	window1: blendMode = 'avg'
16.3697 	EXP 	window1: blendMode = 'avg'
16.3864 	EXP 	window1: blendMode = 'avg'
16.4033 	EXP 	window1: blendMode = 'avg'
16.4197 	EXP 	window1: blendMode = 'avg'
16.4365 	EXP 	window1: blendMode = 'avg'
16.4531 	EXP 	window1: blendMode = 'avg'
16.4697 	EXP 	window1: blendMode = 'avg'
16.4864 	EXP 	window1: blendMode = 'avg'
16.5031 	EXP 	window1: blendMode = 'avg'
16.5199 	EXP 	window1: blendMode = 'avg'
16.5364 	EXP 	window1: blendMode = 'avg'
16.5531 	EXP 	window1: blendMode = 'avg'
16.5697 	EXP 	window1: blendMode = 'avg'
16.5864 	EXP 	window1: blendMode = 'avg'
16.6030 	EXP 	window1: blendMode = 'avg'
16.6196 	EXP 	window1: blendMode = 'avg'
16.6363 	EXP 	window1: blendMode = 'avg'
16.6530 	EXP 	window1: blendMode = 'avg'
16.6696 	EXP 	window1: blendMode = 'avg'
16.6863 	EXP 	window1: blendMode = 'avg'
16.7030 	EXP 	window1: blendMode = 'avg'
16.7196 	EXP 	window1: blendMode = 'avg'
16.7363 	EXP 	window1: blendMode = 'avg'
16.7529 	EXP 	window1: blendMode = 'avg'
16.7696 	EXP 	window1: blendMode = 'avg'
16.7863 	EXP 	window1: blendMode = 'avg'
16.8029 	EXP 	window1: blendMode = 'avg'
16.8196 	EXP 	window1: blendMode = 'avg'
16.8362 	EXP 	window1: blendMode = 'avg'
16.8529 	EXP 	window1: blendMode = 'avg'
16.8696 	EXP 	window1: blendMode = 'avg'
16.8863 	EXP 	window1: blendMode = 'avg'
16.9029 	EXP 	window1: blendMode = 'avg'
16.9195 	EXP 	window1: blendMode = 'avg'
16.9363 	EXP 	window1: blendMode = 'avg'
16.9529 	EXP 	window1: blendMode = 'avg'
16.9704 	EXP 	window1: blendMode = 'avg'
16.9865 	EXP 	window1: blendMode = 'avg'
17.0030 	EXP 	window1: blendMode = 'avg'
17.0197 	EXP 	window1: blendMode = 'avg'
17.0363 	EXP 	window1: blendMode = 'avg'
17.0550 	EXP 	window1: blendMode = 'avg'
17.0697 	EXP 	window1: blendMode = 'avg'
17.0863 	EXP 	window1: blendMode = 'avg'
17.1029 	EXP 	window1: blendMode = 'avg'
17.1195 	EXP 	window1: blendMode = 'avg'
17.1363 	EXP 	window1: blendMode = 'avg'
17.1529 	EXP 	window1: blendMode = 'avg'
17.1695 	EXP 	window1: blendMode = 'avg'
17.1862 	EXP 	window1: blendMode = 'avg'
17.2029 	EXP 	window1: blendMode = 'avg'
17.2195 	EXP 	window1: blendMode = 'avg'
17.2362 	EXP 	window1: blendMode = 'avg'
17.2527 	EXP 	window1: blendMode = 'avg'
17.2695 	EXP 	window1: blendMode = 'avg'
17.2863 	EXP 	window1: blendMode = 'avg'
17.3027 	EXP 	window1: blendMode = 'avg'
17.3195 	EXP 	window1: blendMode = 'avg'
17.3361 	EXP 	window1: blendMode = 'avg'
17.3528 	EXP 	window1: blendMode = 'avg'
17.3694 	EXP 	window1: blendMode = 'avg'
17.3861 	EXP 	window1: blendMode = 'avg'
17.4029 	EXP 	window1: blendMode = 'avg'
17.4194 	EXP 	window1: blendMode = 'avg'
17.4361 	EXP 	window1: blendMode = 'avg'
17.4527 	EXP 	window1: blendMode = 'avg'
17.4694 	EXP 	window1: blendMode = 'avg'
17.4860 	EXP 	window1: blendMode = 'avg'
17.5027 	EXP 	window1: blendMode = 'avg'
17.5195 	EXP 	window1: blendMode = 'avg'
17.5361 	EXP 	window1: blendMode = 'avg'
17.5527 	EXP 	window1: blendMode = 'avg'
17.5696 	EXP 	window1: blendMode = 'avg'
17.5860 	EXP 	window1: blendMode = 'avg'
17.6027 	EXP 	window1: blendMode = 'avg'
