['255.7001', 'DATA', 'Keypress:', 'm', '']
['257.7125', 'DATA', 'Keypress:', 'w', '']
['259.5923', 'DATA', 'Keypress:', 'm', '']
['261.6563', 'DATA', 'Keypress:', 'm', '']
['263.6643', 'DATA', 'Keypress:', 'w', '']
['265.7523', 'DATA', 'Keypress:', 'w', '']
['267.7363', 'DATA', 'Keypress:', 'm', '']
['269.8084', 'DATA', 'Keypress:', 'w', '']
['271.7523', 'DATA', 'Keypress:', 'm', '']
['273.6003', 'DATA', 'Keypress:', 'w', '']
['275.7362', 'DATA', 'Keypress:', 'm', '']
['277.7258', 'DATA', 'Keypress:', 'w', '']
['279.8015', 'DATA', 'Keypress:', 'm', '']
['281.9578', 'DATA', 'Keypress:', 'm', '']
['283.8088', 'DATA', 'Keypress:', 'm', '']
['285.6829', 'DATA', 'Keypress:', 'w', '']
['287.7565', 'DATA', 'Keypress:', 'm', '']
['289.8556', 'DATA', 'Keypress:', 'w', '']
['291.7388', 'DATA', 'Keypress:', 'm', '']
['293.6483', 'DATA', 'Keypress:', 'w', '']
['296.1443', 'DATA', 'Keypress:', 'w', '']
['297.7364', 'DATA', 'Keypress:', 'm', '']
['299.7923', 'DATA', 'Keypress:', 'm', '']
['301.6725', 'DATA', 'Keypress:', 'w', '']
['303.7513', 'DATA', 'Keypress:', 'm', '']
['305.7931', 'DATA', 'Keypress:', 'w', '']
['307.6245', 'DATA', 'Keypress:', 'm', '']
['309.6419', 'DATA', 'Keypress:', 'w', '']
['311.7079', 'DATA', 'Keypress:', 'm', '']
['313.6404', 'DATA', 'Keypress:', 'w', '']
['315.6323', 'DATA', 'Keypress:', 'm', '']
['317.7122', 'DATA', 'Keypress:', 'w', '']
['319.6964', 'DATA', 'Keypress:', 'm', '']
['321.6643', 'DATA', 'Keypress:', 'w', '']
['323.7046', 'DATA', 'Keypress:', 'm', '']
['325.6605', 'DATA', 'Keypress:', 'w', '']
['327.5768', 'DATA', 'Keypress:', 'm', '']
['329.6083', 'DATA', 'Keypress:', 'w', '']
['331.7065', 'DATA', 'Keypress:', 'm', '']
['334.0807', 'DATA', 'Keypress:', 'w', '']
['335.8483', 'DATA', 'Keypress:', 'w', '']
['337.6724', 'DATA', 'Keypress:', 'm', '']
['339.7283', 'DATA', 'Keypress:', 'w', '']
['341.6724', 'DATA', 'Keypress:', 'm', '']
['343.8044', 'DATA', 'Keypress:', 'w', '']
['345.6970', 'DATA', 'Keypress:', 'w', '']
['347.7867', 'DATA', 'Keypress:', 'm', '']
['349.7525', 'DATA', 'Keypress:', 'w', '']
['351.7526', 'DATA', 'Keypress:', 'm', '']
['353.7203', 'DATA', 'Keypress:', 'w', '']
['355.6803', 'DATA', 'Keypress:', 'm', '']
['357.7842', 'DATA', 'Keypress:', 'm', '']
['359.7125', 'DATA', 'Keypress:', 'w', '']
['361.7042', 'DATA', 'Keypress:', 'm', '']
['364.8247', 'DATA', 'Keypress:', 'space', '']
